DTXSID,SMILES
DTXSID00553682,FC(F)(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F
DTXSID00554598,CCCCC(I)CC(F)(F)C(F)(F)F
DTXSID00557201,CCCCCCCOC(=O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00559083,C#CCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
DTXSID00559644,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)F
DTXSID00561101,FC(F)(F)C(=C(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F
DTXSID00561368,COC(=O)C(F)(F)C(F)(Br)C(F)(F)Br
DTXSID00563029,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC
DTXSID00563362,CC1(C(=O)Cl)CC(F)(F)C1(F)Cl
DTXSID00564112,FCC(F)(F)C(F)(Cl)Cl
DTXSID00567042,C[Si](C)(C)C(I)CC(F)(F)C(F)(F)C(F)(F)F
DTXSID00567047,OCC(I)CC(F)(F)C(F)(F)C(F)(F)F
DTXSID00569248,O=S(=O)(Cl)c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1
DTXSID00573007,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI
DTXSID00573643,OCC(I)CC(F)(F)C(F)(F)C(F)(F)CC(I)CO
DTXSID00573789,FC(F)(F)C(F)(F)SCl
DTXSID00575041,COC(=O)c1cccc(SC(F)(F)C(F)(F)C(F)(F)F)c1
DTXSID00575046,O=C(O)c1ccc(S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)cc1
DTXSID00575182,O=[N+]([O-])c1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl)c1
DTXSID00578456,CCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC
DTXSID00578936,CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
DTXSID00580271,O=S(=O)(F)C(F)(F)C(F)(F)OC(F)C(F)(F)F
DTXSID00583368,NCc1ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1
DTXSID00583424,CC(C)[SiH](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(C)C
DTXSID00583621,FC(=C(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
