DTXSID,SMILES,risk_score,seed_label
DTXSID5060936,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,0.9999958202940382,-1
DTXSID8065379,FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,0.9999958202940382,-1
DTXSID20880189,FC(F)(F)C1(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,0.9999958202940382,-1
DTXSID70379876,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)I,0.9999958202940382,-1
DTXSID7061982,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.9999958202940382,-1
DTXSID70438417,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(Br)cc1,0.999994883251283,-1
DTXSID60567023,Nc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.999994883251283,-1
DTXSID80703401,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cccc(S)c1,0.999994883251283,-1
DTXSID30895729,Nc1ccccc1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.999994883251283,-1
DTXSID30895623,Cc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.999994883251283,-1
DTXSID90895664,Oc1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,0.999994883251283,-1
DTXSID50895660,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(I)cc1,0.999994883251283,-1
DTXSID00895670,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cccc(Br)c1,0.999994883251283,-1
DTXSID10895722,Nc1cccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,0.999994883251283,-1
DTXSID50528481,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Sc1ccccc1,0.9999946010727703,-1
DTXSID20458928,FC(F)(F)C(F)(F)C(F)(F)C(Cc1ccccc1)(C(F)(F)F)C(F)(F)F,0.9999946010727703,-1
DTXSID10553633,FC(F)(F)C(F)(F)C(F)(F)C(Sc1ccccc1)(C(F)(F)F)C(F)(F)F,0.9999946010727703,-1
DTXSID50501193,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[I+]c1ccccc1,0.9999946010727703,-1
